class,tweet
1,rt boy dats coldtyga dwn bad for cuffin dat hoe in the place
1,rt urkindofbrand dawg rt you ever fuck a bitch and she start to cry you be confused as shit
1,rt cganderson vivabased she look like a tranny
1,rt shenikaroberts the shit you hear about me might be true or it might be faker than the bitch who told it to ya
1,tmadisonx the shit just blows meclaim you so faithful and down for somebody but still fucking with hoes
1,brighterdays i can not just sit up and hate on another bitch i got too much shit going on
1,cause im tired of you big bitches coming for us skinny
1,amp you might not get ya bitch back amp thats that
1,rhythmixx hobbies include fighting mariam bitch
1,keeks is a bitch she curves everyone lol i walked into a conversation like this smh
1,murda gang bitch its gang land
1,so hoes that smoke are losers yea go on ig
1,bad bitches is the only thing that i like
1,bitch get up off me
1,bitch nigga miss me with it
1,bitch plz whatever
1,bitch who do you love
1,bitches get cut off everyday b
1,black bottle amp a bad bitch
1,broke bitch cant tell me nothing
1,cancel that bitch like nino
1,cant you see these hoes wont change
1,fuck no that bitch dont even suck dick the kermit videos bout to fuck ig up
1,got ya bitch tip toeing on my hardwood floors
1,her pussy lips like heaven doors
1,hoe what its hitting for
1,i met that pussy on ocean dr i gave that pussy a pill
1,i need a trippy bitch who fuck on hennessy
1,i spend my money how i want bitch its my business
1,i txt my old bitch my new bitch pussy wetter
1,id say im back to the old me but my old bitches would get excited
1,if you aint bout that murder game pussy nigga shut up
1,if youre toes aint done you pussy stinks
1,im done with bitter bitches its a wrap for that if you a angry bird theres a app for that
1,is that ya bitch
1,it aint nothing to cut a bitch off
1,jus meet son now he ya mane ass bitches shots
1,lames crying over hoes thats tears of a clown
1,like snoop said in we dont love these hoes
1,most hated but the hoes favorite sevenone
1,nice girls bad make me get naughty bad yello hoe real nice body down south chick like em real thick
1,pimps up pimps up hoes down future voice
1,post a picture of that pussy get likes
1,pussy is a powerful drug happyhumpday
1,quick piece of pussy call it a drive by
1,running round here like some brand new pussy thats bout to get fucked
1,these bitches even worst theyll send them guys for you
1,these hoes like niggas that spend money not talk bout it
1,we dont trust these niggas all these bitches
1,yall niggas b cuffing hoes cause yall aint never have bitches
1,you dodge a bullet all da bitches i cut off pregnant or bound to be thank god
1,young pill chamberlain these bitches love my music
1,teanna trump probably cleaner than most of these twitter hoes but
1,gay niggas couldnt wait to act like bitches tonight
1,and ima steal his cat n replace it with a pitbull rt theparadox he a bitch you should do it
1,amp hes gone always be a hoe
1,son of a bitch took my tic tacs i like this movie
1,all i wanna do is get money and fuck model bitches russell simmons
1,i probably mind school as much if we have to deal with bitch ass teachers retweet
1,im a fucking fag they said
1,arizzleindacut females think dating a pussy is cute now how does doing this stuff make him a pussy
1,adorebellaaa have ya ever asked your bitch for other bitches kanye voice yes
1,adorezoey how u gone bring ur side bitch to a game where you know ya gf friends at i swear
1,almightywayne jetsandaswisher gook bitch fuck u maybe youll get better just
1,almightywayne fuck red malone man bitch ass niggah could you please use complete sentences
1,autoworid hennessey venom gt thats one sexy bitch
1,bossbytchh him seh me pussy wetter then a shower curtainahmesehwetnessltlmao
1,eaglesnation and every eagles need to see that pic i just posted because that bitch just said the most racist shit
1,bvsedchink yo fuck skateboarding all yall some wood pushing faggots man ball is life amjemiebenn
1,baylaagottabody i aint shit damn skippy lol
1,beeasyjrizzy u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussyno bs must b
1,beenbasedb kudabrazyy rings mvps bitches lol
1,beenflynsolo ppl talk bad about the ghettohood but as a kid growing up a nigga had funnnnnnn
1,bestproadvice the facts on tattoostattoo hes a pussy with not tattooing them nipples
1,rt nelayden bitches be wanting to act like niggas so bad that shit aint cuteeeee but niggas act like bitches
1,get worshiping bitch woof woof
1,blackchiquitita wow rt thatmanpalmer im lost are those buttcheek piercings yeah shes a hoe
1,blacknerdjade ok sis shed rather be a broke bitch shrugs shell have to tell me how it works for her
1,whalelookyhere queer gaywad
1,brokenpiecesmsc itsnotadam faggot read my tweets after dat k it wasnt even funny lol
1,brosconfessions this bitch was so ungrateful fr lulwhore
1,cashandboobies i been kidnapped yo bitch
1,whitethunduh alsarabsss hes a beaner smh you can tell hes a mexican
1,ccobey aydanmccoy happy birthday nigs thanks yo
1,chlldhoodruiner when ur teacher tells u that u have homework this bitch need to go
1,that nigga was eating that hoe lol hell yea lol john paul nigga said john paul
1,canifuckornah what would yall lil ugly bald headed bitches do if they stop making makeup amp weave
1,leafs better win this damn game so i can go riot and shit earlychristmas you better start looting my nig
1,causewereguys going back to school sucks more dick than the hoes who attend it
1,causewereguys on my way to fuck yo bitch me as a year old
1,celeynichole whitethunduh how come you never bring me food i dont have a car retard
1,chadmfverbeck if richnow doesnt show up with hella tinder hoes im not his friend anymore chill i brought like like prople
1,chandlerparsons how bout them cowboys shutup pussy
1,clicquotsuave lmaooooooooooo this nigga krillznuhcare httptcoaanpsujmyi ltbitch want likes for some depressing shitfoh
1,coleycee lilaerii girl you know i was spitting that g shit to you amp you was going lbvsbitch plz
1,coleycee let me make a couple tweets off cuzzo page so i wont get in twitter jaillmao bitch dont trick me again
1,comedyposts harlem shake is just an excuse to go full retard for seconds
